lat	long	quadrant	continent.region	country
-18.9656	18.2	8	Africa	**
-18.9656	20	8	Africa	**
-18.9656	21.8	8	Africa	**
-18.9656	23.6	8	Africa	**
-18.9656	25.4	8	Africa	**
-18.9656	27.2	8	Africa	**
-18.9656	29	8	Africa	**
-18.9656	30.8	8	Africa	**
-18.9656	32.6	8	Africa	**
-18.9656	34.4	8	Africa	**
-18.9656	45.2	8	Pacific	**
-18.9656	47	8	Pacific	**
-18.9656	48.8	9	Pacific	**
-18.9656	122.6	10	Pacific	**
-18.9656	124.4	10	Pacific	**
-18.9656	126.2	10	Pacific	**
-18.9656	128	10	Pacific	**
-18.9656	129.8	10	Pacific	**
-18.9656	131.6	10	Pacific	**
-18.9656	133.4	10	Pacific	**
-18.9656	135.2	10	Pacific	**
-18.9656	137	10	Pacific	**
-18.9656	138.8	10	Pacific	**
-18.9656	140.6	10	Pacific	**
-18.9656	142.4	10	Pacific	**
-18.9656	144.2	10	Pacific	**
-18.9656	146	10	Pacific	**
-18.9656	178.4	10	Pacific	**
-17.4576	-70	7	Americas	Chile
-17.4576	-68.2	7	Americas	Chile
-17.4576	-66.4	7	Americas	Chile
-17.4576	-64.6	7	Americas	Chile
-17.4576	-62.8	7	Americas	Chile
-17.4576	-61	7	Americas	Chile
-17.4576	-59.2	7	Americas	Chile
-17.4576	-57.4	7	Americas	Chile
-17.4576	-55.6	7	Americas	Chile
-17.4576	-53.8	7	Americas	Chile
-17.4576	-52	7	Americas	Chile
-17.4576	-50.2	7	Americas	Chile
-17.4576	-48.4	7	Americas	Chile
-17.4576	-46.6	7	Americas	Chile
-17.4576	-44.8	7	Americas	Chile
-17.4576	-43	7	Americas	Chile
-17.4576	-41.2	7	Americas	Chile
-17.4576	-39.4	7	Americas	Chile
-17.4576	12.8	8	Africa	**
-17.4576	14.6	8	Africa	**
-17.4576	16.4	8	Africa	**
-17.4576	18.2	8	Africa	**
-17.4576	20	8	Africa	**
-17.4576	21.8	8	Africa	**
-17.4576	23.6	8	Africa	**
-17.4576	25.4	8	Africa	**
-17.4576	27.2	8	Africa	**
-17.4576	29	8	Africa	**
-17.4576	30.8	8	Africa	**
-17.4576	32.6	8	Africa	**
-17.4576	34.4	8	Africa	**
-17.4576	36.2	8	Africa	**
-17.4576	45.2	8	Pacific	**
-17.4576	47	8	Pacific	**
-17.4576	48.8	9	Pacific	**
-17.4576	122.6	10	Pacific	**
-17.4576	124.4	10	Pacific	**
-17.4576	126.2	10	Pacific	**
-17.4576	128	10	Pacific	**
-17.4576	129.8	10	Pacific	**
-17.4576	131.6	10	Pacific	**
-17.4576	133.4	10	Pacific	**
-17.4576	135.2	10	Pacific	**
-17.4576	137	10	Pacific	**
-17.4576	138.8	10	Pacific	**
-17.4576	142.4	10	Pacific	**
-17.4576	144.2	10	Pacific	**
-17.4576	146	10	Pacific	**
-15.962	-73.6	7	Americas	Chile
-15.962	-71.8	7	Americas	Chile
-15.962	-70	7	Americas	Chile
-15.962	-68.2	7	Americas	Chile
-15.962	-66.4	7	Americas	Chile
-15.962	-64.6	7	Americas	Chile
-15.962	-62.8	7	Americas	Chile
-15.962	-61	7	Americas	Chile
-15.962	-59.2	7	Americas	Chile
-15.962	-57.4	7	Americas	Chile
-15.962	-55.6	7	Americas	Chile
-15.962	-53.8	7	Americas	Chile
-15.962	-52	7	Americas	Chile
-15.962	-50.2	7	Americas	Chile
-15.962	-48.4	7	Americas	Chile
-15.962	-46.6	7	Americas	Chile
-15.962	-44.8	7	Americas	Chile
-15.962	-43	7	Americas	Chile
-15.962	-41.2	7	Americas	Chile
-15.962	-39.4	7	Americas	Chile
-15.962	12.8	8	Africa	**
-15.962	14.6	8	Africa	**
-15.962	16.4	8	Africa	**
-15.962	18.2	8	Africa	**
-15.962	20	8	Africa	**
-15.962	21.8	8	Africa	**
-15.962	23.6	8	Africa	**
-15.962	25.4	8	Africa	**
-15.962	27.2	8	Africa	**
-15.962	29	8	Africa	**
-15.962	30.8	8	Africa	**
-15.962	32.6	8	Africa	**
-15.962	34.4	8	Africa	**
-15.962	36.2	8	Africa	**
-15.962	38	8	Africa	**
-15.962	39.8	8	Africa	**
-15.962	45.2	8	Pacific	**
-15.962	47	8	Pacific	**
-15.962	48.8	9	Pacific	**
-15.962	126.2	10	Pacific	**
-15.962	128	10	Pacific	**
-15.962	129.8	10	Pacific	**
-15.962	131.6	10	Pacific	**
-15.962	133.4	10	Pacific	**
-15.962	135.2	10	Pacific	**
-15.962	137	10	Pacific	**
-15.962	142.4	10	Pacific	**
-15.962	144.2	10	Pacific	**
-14.4775	-75.4	7	Americas	Chile
-14.4775	-73.6	7	Americas	Chile
-14.4775	-71.8	7	Americas	Chile
-14.4775	-70	7	Americas	Chile
-14.4775	-68.2	7	Americas	Chile
-14.4775	-66.4	7	Americas	Chile
-14.4775	-64.6	7	Americas	Chile
-14.4775	-62.8	7	Americas	Chile
-14.4775	-61	7	Americas	Chile
-14.4775	-59.2	7	Americas	Chile
-14.4775	-57.4	7	Americas	Chile
-14.4775	-55.6	7	Americas	Chile
-14.4775	-53.8	7	Americas	Chile
-14.4775	-52	7	Americas	Chile
-14.4775	-50.2	7	Americas	Chile
-14.4775	-48.4	7	Americas	Chile
-14.4775	-46.6	7	Americas	Chile
-14.4775	-44.8	7	Americas	Chile
-14.4775	-43	7	Americas	Chile
-14.4775	-41.2	7	Americas	Chile
-14.4775	-39.4	7	Americas	Chile
-14.4775	12.8	8	Africa	**
-14.4775	14.6	8	Africa	**
-14.4775	16.4	8	Africa	**
-14.4775	18.2	8	Africa	**
-14.4775	20	8	Africa	**
-14.4775	21.8	8	Africa	**
-14.4775	23.6	8	Africa	**
-14.4775	25.4	8	Africa	**
-14.4775	27.2	8	Africa	**
-14.4775	29	8	Africa	**
-14.4775	30.8	8	Africa	**
-14.4775	32.6	8	Africa	**
-14.4775	34.4	8	Africa	**
-14.4775	36.2	8	Africa	**
-14.4775	38	8	Africa	**
-14.4775	39.8	8	Africa	**
-14.4775	48.8	9	Pacific	**
-14.4775	126.2	10	Pacific	**
-14.4775	129.8	10	Pacific	**
-14.4775	131.6	10	Pacific	**
-14.4775	133.4	10	Pacific	**
-14.4775	135.2	10	Pacific	**
-14.4775	142.4	10	Pacific	**
-14.4775	144.2	10	Pacific	**
-13.0029	-75.4	7	Americas	Chile
-13.0029	-73.6	7	Americas	Chile
-13.0029	-71.8	7	Americas	Chile
-13.0029	-70	7	Americas	Chile
-13.0029	-68.2	7	Americas	Chile
-13.0029	-66.4	7	Americas	Chile
-13.0029	-64.6	7	Americas	Chile
-13.0029	-62.8	7	Americas	Chile
